tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,10.38114756559844,57.97917503865483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_YY,5,26,F,2022-11-24_18h41.38.992,dynamic target,2022.1.3,120.09679270559678,
1,3,1,0,mix,0,0,0,0,,,,,57.97917503865483,None,None,135.2216497110203,None,134.2736462075336,None,134.7220761010858,None,1,[0.008946975292019488],[0.5169957893376704],135.2216497110203,None,[0 3 1 3 2 3 3 1],space,0,3.1411879371526084,0.0067850381492462475,None,135.24662824719508,None,1,138.39394368957164,None,None,138.8935203462949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_YY,5,26,F,2022-11-24_18h41.38.992,dynamic target,2022.1.3,120.09679270559678,
0,2,1,2,mix,0,1,1,1,,,,,,,None,139.92597586237753,None,138.9351280950168,None,139.42640610101807,None,1,[0.008632033551293716],[0.5175390798758599],139.92597586237753,None,[2 3 3 1 3 2 2 1],space,0,3.86379482090706,0.0023837112903493107,None,139.94263121316453,None,1,143.80601064066923,None,None,144.30558569381964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_YY,5,26,F,2022-11-24_18h41.38.992,dynamic target,2022.1.3,120.09679270559678,
0,1,2,2,mix,0,2,2,2,,,,,,,None,145.33803030560557,None,144.36390395623948,None,144.83845669567108,None,1,[0.008643258563097334],[0.5172190067023621],145.33803030560557,None,[0 3 0 3 0 1 1 1],space,0,2.756512899621157,0.0027823595419249614,None,145.3546721863795,None,0,148.11899858789366,None,None,148.61857043389836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_YY,5,26,F,2022-11-24_18h41.38.992,dynamic target,2022.1.3,120.09679270559678,
1,6,3,0,mix,0,3,3,3,,,,,,,None,149.65102306354947,None,148.67687298130204,149.67599871329367,149.1514472086128,None,5,"[0.18339551454937464, 0.517348575401229, 0.7249766439581435, 0.8585728777425174, 0.9002410811672235]","[0.2333657361987207, 0.6925167982290077, 0.7928469097696507, 0.8919281586458965, 1.4078139547409592]",149.65102306354947,None,[3 3 3 2 2 0 0 0],space,0,9.551905641913436,0.0028881953621748835,None,150.55858156910926,None,1,160.11710091958503,None,None,160.6166724448746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_YY,5,26,F,2022-11-24_18h41.38.992,dynamic target,2022.1.3,120.09679270559678,
1,5,1,2,mix,0,4,4,4,,,,,,,None,161.64913052667453,None,160.6749887830074,None,161.14955467173786,None,1,[0.008650634998957685],[0.5172023295426698],161.64913052667453,None,[0 2 0 3 3 0 2 0],space,0,4.395915190228152,0.002672995862667449,None,161.66581249677347,None,1,166.06204031574998,None,None,166.56161216175468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_YY,5,26,F,2022-11-24_18h41.38.992,dynamic target,2022.1.3,120.09679270559678,
0,4,3,2,mix,0,5,5,5,,,,,,,None,167.59406639497865,None,166.61989482485296,None,167.0944796357453,None,1,[0.008641975704449578],[0.5174848791084514],167.59406639497865,None,[2 0 0 1 1 3 3 1],space,0,4.274582441451457,0.0025113557021541055,None,167.6107233493385,None,1,171.8904021985627,None,None,172.38997500671093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_YY,5,26,F,2022-11-24_18h41.38.992,dynamic target,2022.1.3,120.09679270559678,
1,3,3,2,mix,0,6,6,6,,,,,,,None,173.42243244708152,None,172.43993256013346,None,172.92285306428403,None,1,[0.008888925948667747],[0.5174922555434023],173.42243244708152,None,[2 1 2 3 1 2 0 1],space,0,2.8303227998876537,0.002505262124032015,None,173.4390849114361,None,1,176.26998332604762,None,None,176.76957601850125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_YY,5,26,F,2022-11-24_18h41.38.992,dynamic target,2022.1.3,120.09679270559678,
0,2,2,2,mix,0,7,7,7,,,,,,,None,177.80203057244034,None,176.81953453406732,None,177.3024470203527,None,1,[0.009122726894929656],[0.5172141959828878],177.80203057244034,None,[3 3 1 0 0 3 2 1],space,0,3.906913295767481,0.002712764473471907,None,177.8186817539372,None,1,181.72369218197218,None,None,182.22326242440403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_YY,5,26,F,2022-11-24_18h41.38.992,dynamic target,2022.1.3,120.09679270559678,
1,1,2,2,mix,0,8,8,8,,,,,,,None,183.25571729905732,None,182.27326487787013,None,182.75614048197622,None,1,[0.00805923727057234],[0.5165544860437876],183.25571729905732,None,[0 2 2 2 2 2 2 3],space,0,2.2451148629716045,0.002719820194215572,None,183.2723745741314,None,1,185.52045662062392,None,None,186.0200278251993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05_YY,5,26,F,2022-11-24_18h41.38.992,dynamic target,2022.1.3,120.09679270559678,
