tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,fix_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,20.051983790143822,60.957308977132016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06_JM,6,33,M,2022-11-25_13h46.28.630,dynamic target,2022.1.3,120.09151132274278,
0,8,3,0,mix,0,0,0,0,,,,,60.957308977132016,None,None,115.1774214446441,None,114.21270881600594,None,114.67786017954768,None,1,[0.008490225960485986],[0.5170109196242265],115.1774214446441,None,[2 2 3 0 1 3 3 1],space,0,4.060399610770219,0.00687524534532713,None,115.20241009141591,None,1,119.26558214477245,None,None,119.76515117111403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06_JM,6,33,M,2022-11-25_13h46.28.630,dynamic target,2022.1.3,120.09151132274278,
1,7,2,2,mix,0,1,1,1,,,,,,,None,120.78931327724695,None,119.79845807772563,None,120.28971352663302,None,1,[0.008712800539797172],[0.5178592045813275],120.78931327724695,None,[3 1 1 3 1 0 2 0],space,0,4.851878019111609,0.002339342205232242,None,120.80593613456585,None,1,125.66009590591057,None,None,126.15967936432234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06_JM,6,33,M,2022-11-25_13h46.28.630,dynamic target,2022.1.3,120.09151132274278,
0,6,1,2,mix,0,2,2,2,,,,,,,None,127.19211585680296,None,126.20962420174601,None,126.69254336676477,None,1,[0.00824584292331565],[0.5169066880134778],127.19211585680296,None,[2 2 2 1 1 2 2 1],space,0,3.711936337500447,0.00193909281915694,None,127.2087730303756,None,1,130.92225283959033,None,None,131.42182795947184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06_JM,6,33,M,2022-11-25_13h46.28.630,dynamic target,2022.1.3,120.09151132274278,
1,5,4,2,mix,0,3,3,3,,,,,,,None,132.44593586516748,None,131.45513518679581,None,131.9463704308073,None,1,[0.00859766469875467],[0.5177492001430437],132.44593586516748,None,[3 0 1 2 1 3 0 2],space,0,2.218789646100049,0.002142424638805096,None,132.46261709218834,None,0,134.6940160792492,None,None,135.1936056312009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06_JM,6,33,M,2022-11-25_13h46.28.630,dynamic target,2022.1.3,120.09151132274278,
0,4,1,2,mix,0,4,4,4,,,,,,,None,136.22605880074025,None,135.2435459786484,136.24268550661054,135.72646386081578,None,2,"[0.008626208124042023, 0.8336251818436722]","[0.2250062218254243, 1.3414961116795894]",136.22605880074025,None,[2 2 2 3 2 2 1 2],space,0,5.533992772662714,0.0025856495194602758,None,137.06701483231882,None,1,142.61222024235667,None,None,143.1117950415258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06_JM,6,33,M,2022-11-25_13h46.28.630,dynamic target,2022.1.3,120.09151132274278,
0,3,2,2,mix,0,5,5,5,,,,,,,None,144.1442565495936,None,143.1534247620957,None,143.64468598383064,None,1,[0.00864513017131685],[0.5174798015177657],144.1442565495936,None,[2 0 3 2 0 3 1 3],space,0,4.40725515153008,0.0025946294736058917,None,144.16088902829233,None,1,148.5737732099742,None,None,149.07335827194885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06_JM,6,33,M,2022-11-25_13h46.28.630,dynamic target,2022.1.3,120.09151132274278,
0,2,3,2,mix,0,6,6,6,,,,,,,None,150.10579444371797,None,149.13168108590708,150.13078148692694,149.60622708508163,None,2,"[0.008689067803970829, 0.8084146019182299]","[0.2000304035591398, 1.316157567407572]",150.10579444371797,None,[1 2 2 3 2 3 0 2],space,0,4.2708307255416,0.003152990196213068,None,150.92176856348942,None,1,155.19310333105022,None,None,155.69267043311567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06_JM,6,33,M,2022-11-25_13h46.28.630,dynamic target,2022.1.3,120.09151132274278,
1,1,4,2,mix,0,7,7,7,,,,,,,None,156.7251207803841,None,155.75101665909824,None,156.2172202808415,None,1,[0.008633905227725336],[0.516469556672746],156.7251207803841,None,[3 2 1 0 3 1 3 0],space,0,5.050195496411106,0.002149159604414308,None,156.73342909813073,None,1,161.78744480535352,None,None,162.2870494307993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06_JM,6,33,M,2022-11-25_13h46.28.630,dynamic target,2022.1.3,120.09151132274278,
0,8,1,2,mix,0,8,8,8,,,,,,,None,163.31946283196976,None,162.33697342190135,None,162.81989002121827,None,1,[0.008580987640925741],[0.5172976367321098],163.31946283196976,None,[0 3 1 1 3 1 0 2],space,0,5.4872258127370515,0.0027745492707254016,None,163.3361299476337,None,1,168.8230839984917,None,None,169.3226459691553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06_JM,6,33,M,2022-11-25_13h46.28.630,dynamic target,2022.1.3,120.09151132274278,
