tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,2.774950201241154,34.0552031624934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_GV,18,28,F,2022-12-12_09h43.59.205,dynamic target,2022.1.3,120.09575164648815,
1,5,1,0,mix,0,0,0,0,,,,,34.0552031624934,None,None,93.28789119852627,None,92.30602755700193,None,92.78833121769185,None,1,[0.009004998643376894],[0.5173069929051053],93.28789119852627,None,[2 1 0 3 2 0 1 2],space,0,4.537532600603299,0.007277314060956996,None,93.31286870046188,None,1,97.8590190779737,None,None,98.35856895632728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_GV,18,28,F,2022-12-12_09h43.59.205,dynamic target,2022.1.3,120.09575164648815,
0,6,3,2,mix,0,1,1,1,,,,,,,None,99.38268886988848,None,98.39185438572758,None,98.87481711302507,None,1,[0.009270228855257301],[0.5164869280315543],99.38268886988848,None,[3 0 1 2 3 1 3 1],space,0,3.3183376304195917,0.0021296991772032925,None,99.39102341658827,None,0,102.72151405078694,None,None,103.22108541695647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_GV,18,28,F,2022-12-12_09h43.59.205,dynamic target,2022.1.3,120.09575164648815,
1,7,3,2,mix,0,2,2,2,,,,,,,None,104.24522409226802,None,103.26275077404262,None,103.7456358886302,None,1,[0.008668249281981844],[0.5173502892516808],104.24522409226802,None,[2 1 3 0 3 3 3 2],space,0,1.93592954535643,0.002770164391677099,None,104.26183898505678,None,1,106.20187226230792,None,None,106.70143144135758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_GV,18,28,F,2022-12-12_09h43.59.205,dynamic target,2022.1.3,120.09575164648815,
1,6,2,1,mix,0,3,3,3,,,,,,,None,107.73389744731139,None,106.7597229162111,None,107.23431790294308,None,1,[0.008718280615539697],[0.5173769084867672],107.73389744731139,None,[3 0 1 1 2 1 1 3],space,0,1.1834582861124545,0.0027890864985238295,None,107.75055275002342,None,1,108.93286436441258,None,None,109.43244695556118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_GV,18,28,F,2022-12-12_09h43.59.205,dynamic target,2022.1.3,120.09575164648815,
1,7,1,2,mix,0,4,4,4,,,,,,,None,110.45659974227465,None,109.48245054755444,None,109.95700608650395,None,1,[0.008711866341855057],[0.5176844729039658],110.45659974227465,None,[1 3 0 3 0 2 2 2],space,0,2.8602754337748593,0.002429566466162214,None,110.47322874646488,None,1,113.33742831247491,None,None,113.83700513077733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_GV,18,28,F,2022-12-12_09h43.59.205,dynamic target,2022.1.3,120.09575164648815,
1,3,4,0,mix,0,5,5,5,,,,,,,None,114.86947049530363,None,113.89529660563039,None,114.36988838522575,None,1,[0.008691982094205741],[0.5170122570357307],114.86947049530363,None,[0 0 2 0 1 0 0 1],space,0,3.1354134529055955,0.002961309743568563,None,114.8861238737336,None,1,118.02510931525694,None,None,118.52470922494408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_GV,18,28,F,2022-12-12_09h43.59.205,dynamic target,2022.1.3,120.09575164648815,
0,4,2,2,mix,0,6,6,6,,,,,,,None,119.54880749033191,None,118.56636560204697,None,119.04923307738227,None,1,[0.007935418528177252],[0.5166280420494331],119.54880749033191,None,[1 1 3 3 0 2 3 1],space,0,2.4714697522676943,0.002612693976061564,None,119.56545477520194,None,1,122.03833490589932,None,None,122.5379242320349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_GV,18,28,F,2022-12-12_09h43.59.205,dynamic target,2022.1.3,120.09575164648815,
1,5,1,2,mix,0,7,7,7,,,,,,,None,123.57038157871966,None,122.59622180044789,123.59534593139415,123.07080107221009,None,1,[1.216189883023162],[1.724581356400904],123.57038157871966,None,[1 3 1 0 3 0 2 2],space,0,3.2267668197264356,0.0026854959805859835,None,124.79433946773088,None,1,128.02490598278519,None,None,128.52447734895517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_GV,18,28,F,2022-12-12_09h43.59.205,dynamic target,2022.1.3,120.09575164648815,
1,6,3,2,mix,0,8,8,8,,,,,,,None,129.54860463893087,None,128.55778939759057,None,129.04073737205908,None,1,[0.009347200137654],[0.5164779480483048],129.54860463893087,None,[0 3 2 2 3 1 1 0],space,0,1.8076437535496552,0.0028933184435118164,None,129.55692122566506,None,0,131.37205769254206,None,None,131.87162713442953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_GV,18,28,F,2022-12-12_09h43.59.205,dynamic target,2022.1.3,120.09575164648815,
