tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,fix_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,7.818675209271532,64.75504716589421,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_SU,22,22,F,2022-12-13_16h27.04.500,dynamic target,2022.1.3,120.0991056243167,
0,2,2,0,mix,0,0,0,0,,,,,64.75504716589421,None,None,202.3961425088928,None,201.4226697758877,None,201.89656601252682,None,1,[0.008911375971365487],[0.5169438335706218],202.3961425088928,None,[2 2 2 2 3 3 1 3],space,0,5.825343507305661,0.007574765788376681,None,202.42112296935557,None,1,208.2494912664606,None,None,208.74906109196309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_SU,22,22,F,2022-12-13_16h27.04.500,dynamic target,2022.1.3,120.0991056243167,
0,1,1,2,mix,0,1,1,1,,,,,,,None,209.78151381782845,None,208.80734641699382,None,209.28193956646464,None,1,[0.007592276806462905],[0.5165358845952142],209.78151381782845,None,[3 3 0 1 3 0 0 2],space,0,3.099190802897283,0.0021780370152555406,None,209.79818873220574,None,1,212.89553042507214,None,None,213.3951024955768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_SU,22,22,F,2022-12-13_16h27.04.500,dynamic target,2022.1.3,120.0991056243167,
1,8,3,2,mix,0,2,2,2,,,,,,,None,214.41923396034144,None,213.42841537800996,214.42756259787893,213.91965906754922,None,3,"[0.008588737080572173, 0.21671455470277579, 0.46648035286307277]","[0.11803516122563451, 0.3590316599838843, 0.9668910279142438]",214.41923396034144,None,[2 0 3 2 0 2 1 3],space,0,2.715679959374029,0.002512221630240674,None,214.8855042451396,None,1,217.59986138714885,None,None,218.09943538194238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_SU,22,22,F,2022-12-13_16h27.04.500,dynamic target,2022.1.3,120.0991056243167,
0,7,2,2,mix,0,3,3,3,,,,,,,None,219.13188746637752,None,218.15778228417548,None,218.63232251573754,None,1,[0.008624657115433365],[0.5173537068349106],219.13188746637752,None,[1 0 3 0 0 3 2 1],space,0,3.780743651692319,0.002724213984038215,None,219.14855115574392,None,1,222.92865671574873,None,None,223.42823038982715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_SU,22,22,F,2022-12-13_16h27.04.500,dynamic target,2022.1.3,120.0991056243167,
0,6,3,2,mix,0,4,4,4,,,,,,,None,224.46068664355334,None,223.47819830232947,224.47733782504838,223.96111078861577,None,1,[0.15022945526288822],[0.65794568826459],224.46068664355334,None,[2 0 2 2 0 2 3 0],space,0,1.8463301088122535,0.002588872421256383,None,224.61888553599601,None,0,226.47564348979904,None,None,226.97521203244287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_SU,22,22,F,2022-12-13_16h27.04.500,dynamic target,2022.1.3,120.0991056243167,
0,5,3,2,mix,0,5,5,5,,,,,,,None,228.00766604116689,None,227.01684810026381,228.0159924337022,227.50809627980743,None,3,"[0.03308716349420138, 0.0913972476919298, 0.21630724715578253]","[0.04143183676205808, 0.10010785632221086, 0.7167852722723183]",228.00766604116689,None,[2 2 0 0 0 2 1 0],space,0,3.07301119053227,0.0023464121823053574,None,228.22414775706784,None,1,231.29654458879122,None,None,231.79612756359347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_SU,22,22,F,2022-12-13_16h27.04.500,dynamic target,2022.1.3,120.0991056243167,
0,4,3,2,mix,0,6,6,6,,,,,,,None,232.8285626501547,None,231.8377463128254,None,232.32898647450384,None,1,[0.008657049291286967],[0.5176089956603391],232.8285626501547,None,[2 3 0 0 3 3 3 1],space,0,2.7877275328955875,0.002256291376397712,None,232.84521960451457,None,1,235.63450850647496,None,None,236.1340828219818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_SU,22,22,F,2022-12-13_16h27.04.500,dynamic target,2022.1.3,120.0991056243167,
0,3,3,2,mix,0,7,7,7,,,,,,,None,237.15822102175298,None,236.16739025226525,None,236.65863554537827,None,1,[0.008256476750830188],[0.5169778293202398],237.15822102175298,None,[0 1 0 0 2 3 1 0],space,0,3.03414539131154,0.002557121677455143,None,237.17486482681306,None,1,240.21394293909907,None,None,240.71351885817967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_SU,22,22,F,2022-12-13_16h27.04.500,dynamic target,2022.1.3,120.0991056243167,
0,2,2,2,mix,0,8,8,8,,,,,,,None,241.73764647436838,None,240.74682211917388,None,241.23807190229127,None,1,[0.008295603933220264],[0.5173039960718597],241.73764647436838,None,[2 3 0 3 3 1 1 3],space,0,2.2135422361861856,0.0024051029540714808,None,241.75430086301094,None,1,243.96907990508225,None,None,244.4686545413042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_SU,22,22,F,2022-12-13_16h27.04.500,dynamic target,2022.1.3,120.0991056243167,
