tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,3.9442906010590377,60.34227429614475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
1,5,3,0,mix,0,0,0,0,,,,,60.34227429614475,None,None,197.53325672552455,None,196.5854182394978,None,197.03369482040944,None,1,[0.008906539544113912],[0.5175651674180699],197.53325672552455,None,[2 0 1 0 2 3 3 3],space,0,3.9361512086325092,0.0065458944482088555,None,197.55822524747782,None,1,201.49652025659452,None,None,201.99609120583736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
0,6,2,2,mix,0,1,1,1,,,,,,,None,203.02856442784795,None,202.04612311684832,None,202.52065652655438,None,1,[0.008660552153742174],[0.516482438040839],203.02856442784795,None,[1 1 3 3 0 3 1 2],space,0,3.300589064907399,0.0016982430643111002,None,203.03686507511156,None,1,206.34238718736015,None,None,206.84197288942923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
0,7,2,2,mix,0,2,2,2,,,,,,,None,207.8744098066527,None,206.9002750440486,207.8993885914424,207.3748376386975,None,1,[0.18183695814877865],[0.6822516409338277],207.8744098066527,None,[3 1 2 0 0 1 3 1],space,0,3.4961945819522953,0.002581809247203637,None,208.05759985580517,None,1,211.55459284436438,None,None,212.0541827157136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
1,6,1,1,mix,0,3,3,3,,,,,,,None,213.0866263679236,None,212.09580872123115,213.0949540192778,212.58705259639828,None,3,"[0.008640026477223728, 0.583734492691292, 0.6171708178771951]","[0.1750721445387171, 0.5919405935637769, 1.1253204731401638]",213.0866263679236,None,[1 1 2 2 2 0 2 3],space,0,3.7782917671756877,0.0021597500453935936,None,213.71111490978365,None,1,217.4911960888312,None,None,217.99078756374692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
0,7,3,2,mix,0,4,4,4,,,,,,,None,219.02321133171063,None,218.03239496787137,None,218.52364140875216,None,1,[0.009309676635893993],[0.5177277692491771],219.02321133171063,None,[2 0 1 1 3 1 3 0],space,0,4.785922186994867,0.0025102900981437415,None,219.0398756144059,None,1,223.8274477028208,None,None,224.32702474562356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
0,8,2,2,mix,0,5,5,5,,,,,,,None,225.35947481210678,None,224.36864433686787,None,224.85989558845176,None,1,[0.008975492983154254],[0.5177717070218932],225.35947481210678,None,[2 1 2 0 0 0 2 0],space,0,3.8084208929176384,0.002308240480488166,None,225.3761076648625,None,1,229.18955653636658,None,None,229.68909797994965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
1,1,3,2,mix,0,6,6,6,,,,,,,None,230.7215490085764,None,229.73905612681483,230.73819565201848,230.21364469927357,None,2,"[0.009173694037599489, 0.3249118197709322]","[0.1253560723598639, 0.8330409493610205]",230.7215490085764,None,[1 2 2 3 2 3 1 0],space,0,5.435397210774681,0.0033162435720441863,None,231.046269683,None,1,236.48328568596844,None,None,236.98287106732786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
0,2,1,2,mix,0,7,7,7,,,,,,,None,238.01531119168794,None,237.02448841357545,None,237.51575409727593,None,1,[0.009226932510500774],[0.5175462453116779],238.01531119168794,None,[3 0 0 0 0 1 0 3],space,0,3.440819837636809,0.002490405851858668,None,238.03196681511326,None,1,241.4706954291214,None,None,241.97026349194093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
0,3,4,2,mix,0,8,8,8,,,,,,,None,243.0027209348409,None,242.02028963010525,None,242.5031452390358,None,1,[0.00864451647066744],[0.5174246948263317],243.0027209348409,None,[3 0 3 0 3 0 2 3],space,0,4.053106186205696,0.002788028145005228,None,243.01936437114637,None,1,247.0742397642607,None,None,247.57382995632324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
0,2,4,1,mix,0,9,9,9,,,,,,,None,248.60626398712338,None,247.615440246871,248.61459548704443,248.10669534702174,None,1,[0.058094075586268445],[0.566486511102994],248.60626398712338,None,[0 1 0 0 1 0 3 1],space,0,7.983449099683639,0.0032274058830807917,None,248.67287525584834,None,1,256.657714158162,None,None,257.15727580670466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
0,7,3,0,mix,0,10,10,10,,,,,,,None,258.1897380603077,None,257.2156119569736,None,257.69016460949933,None,1,[0.007803925920597976],[0.5165398457902484],258.1897380603077,None,[3 2 0 2 3 1 2 2],space,0,3.2016809666929475,0.002578922823886387,None,258.2064199822562,None,1,261.4119839797095,None,None,261.91155653251883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
1,8,3,2,mix,0,11,11,11,,,,,,,None,262.9440069197153,None,261.96151147224737,None,262.44443250676704,None,1,[0.009167600477667293],[0.5175555460045871],262.9440069197153,None,[3 1 2 3 2 2 2 0],space,0,6.638109101491864,0.0025776399706956,None,262.9606513181643,None,1,269.59665283963113,None,None,270.0962439938336,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
0,1,1,2,mix,0,12,12,12,,,,,,,None,271.1286674410803,None,270.13786390579116,None,270.6290907831353,None,1,[0.008636177914013388],[0.5175876173743745],271.1286674410803,None,[2 3 3 0 1 1 0 1],space,0,3.5738531540155236,0.0025362679043610115,None,271.14532242307905,None,1,274.7172681224074,None,None,275.21684099593006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
1,2,2,2,mix,0,13,13,13,,,,,,,None,276.2492974766865,None,275.27515694123576,None,275.7497259501615,None,1,[0.009550532609864604],[0.5177040364396817],276.2492974766865,None,[3 3 3 0 2 3 2 0],space,0,8.532493597424036,0.0024397330926149152,None,276.2659700979384,None,1,284.8003159671134,None,None,285.29989589633954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
0,3,2,2,mix,0,14,14,14,,,,,,,None,286.3323401899761,None,285.34990631953406,None,285.83277219130105,None,1,[0.008740730572753819],[0.5170770411968988],286.3323401899761,None,[3 0 2 1 1 3 2 2],space,0,3.2499807672720635,0.0030462026516033802,None,286.3489910026983,None,1,289.59621763116957,None,None,290.09579531539896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_JW,1,33,F,2022-11-22_17h07.03.843,dynamic target,2022.1.3,120.10361576697916,
