tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,fix_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,1.7898740978279193,28.981670198269057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04_UA,4,30,M,2022-11-24_17h28.31.222,dynamic target,2022.1.3,120.09864303236346,
0,4,4,0,T,0,0,0,0,,,,,28.981670198269057,None,None,125.28293410244976,None,124.3350515083689,125.34122141591013,124.78338069753511,None,2,"[0.009804886856727535, 0.14177862546205233]","[0.025457042363541404, 0.6507264025410677]",125.28293410244976,None,[1 0 1 0 0 0 2 0],space,0,3.772190856737325,0.006512559023462927,None,125.44115480348694,None,1,129.22123310275026,None,None,129.72082185041427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04_UA,4,30,M,2022-11-24_17h28.31.222,dynamic target,2022.1.3,120.09864303236346,
0,3,2,2,T,0,1,1,1,,,,,,,None,130.74494850445978,None,129.7541270356959,None,130.24537489452507,None,1,[0.008431907639305791],[0.5171003422987042],130.74494850445978,None,[3 0 3 0 2 3 3 3],space,0,2.2071642069573727,0.001606202877155738,None,130.76160128952927,None,1,132.9680718990827,None,None,133.4676272924279,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04_UA,4,30,M,2022-11-24_17h28.31.222,dynamic target,2022.1.3,120.09864303236346,
0,2,1,2,T,0,2,2,2,,,,,,,None,134.49175875719243,None,133.5093069774349,None,133.99218354368475,None,1,[0.00864518285061422],[0.5173565932667543],134.49175875719243,None,[2 2 1 1 1 1 2 0],space,0,1.2289689514168458,0.002572515977135481,None,134.5084131458351,None,1,135.74069935667865,None,None,136.2402714271832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04_UA,4,30,M,2022-11-24_17h28.31.222,dynamic target,2022.1.3,120.09864303236346,
0,1,4,2,T,0,3,3,3,,,,,,,None,137.27273544220293,None,136.281919682159,None,136.76482254700636,None,1,[0.008640051416932693],[0.5165012474194555],137.27273544220293,None,[2 2 2 0 2 3 3 2],space,0,1.4322253592143852,0.0026196610239139773,None,137.28105920487803,None,1,138.71316504582853,None,None,139.21273871990616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04_UA,4,30,M,2022-11-24_17h28.31.222,dynamic target,2022.1.3,120.09864303236346,
0,8,4,2,T,0,4,4,4,,,,,,,None,140.2368701846707,None,139.25438633345277,None,139.73729272616072,None,1,[0.008671802162780295],[0.5171195851748962],140.2368701846707,None,[3 3 3 2 1 3 0 3],space,0,1.1801520194817385,0.0027803390401004435,None,140.25353194974923,None,1,141.4358447317976,None,None,141.93541968873365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04_UA,4,30,M,2022-11-24_17h28.31.222,dynamic target,2022.1.3,120.09864303236346,
0,7,1,2,T,0,5,5,5,,,,,,,None,142.95954762563758,None,141.96872936401974,None,142.45997401570287,None,1,[0.00915672264306977],[0.517616372095631],142.95954762563758,None,[2 3 3 0 0 3 1 1],space,0,1.0160843705090201,0.0021478898422628845,None,142.9762308785945,None,1,143.9920033020776,None,None,144.49157697615522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04_UA,4,30,M,2022-11-24_17h28.31.222,dynamic target,2022.1.3,120.09864303236346,
0,6,1,2,T,0,6,6,6,,,,,,,None,145.51570266805686,None,144.53321496826368,None,145.01613643455812,None,1,[0.008642617133773456],[0.5170268986545352],145.51570266805686,None,[2 1 3 1 3 1 1 2],space,0,1.3568186209364512,0.0029740506606685813,None,145.53235769812875,None,1,146.88953370341665,None,None,147.38910833963803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04_UA,4,30,M,2022-11-24_17h28.31.222,dynamic target,2022.1.3,120.09864303236346,
0,7,4,1,T,0,7,7,7,,,,,,,None,148.41325006726993,None,147.430761405333,None,147.91366555303875,None,1,[0.008841139473361181],[0.5170211257916435],148.41325006726993,None,[1 1 2 0 2 3 3 1],space,0,2.362597256661502,0.0028284462307510694,None,148.4298880994678,None,1,150.79454765931257,None,None,151.29411652267117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04_UA,4,30,M,2022-11-24_17h28.31.222,dynamic target,2022.1.3,120.09864303236346,
0,8,1,1,T,0,8,8,8,,,,,,,None,152.31824349743124,None,151.33574970406062,None,151.81867181178416,None,1,[0.008662822153837624],[0.5176769871557099],152.31824349743124,None,[1 3 0 1 3 3 2 2],space,0,1.144920878863445,0.0022960599890211597,None,152.3348972446447,None,1,153.48391953014027,None,None,153.98349769422236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04_UA,4,30,M,2022-11-24_17h28.31.222,dynamic target,2022.1.3,120.09864303236346,
