tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,fix_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,1.2370063452835893,29.273663867279538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_FF,10,35,F,2022-11-29_17h44.26.418,dynamic target,2022.1.3,120.10531140925652,
1,6,1,0,mix,0,0,0,0,,,,,29.273663867279538,None,None,83.60183780586885,None,82.64553508488825,None,83.1022531274175,None,1,[0.008998205936222803],[0.5173537057889916],83.60183780586885,None,[2 3 3 2 2 3 3 1],space,0,2.895763728865859,0.006663874337391462,None,83.62680488482147,None,1,86.5243064130118,None,None,87.02387848749859,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_FF,10,35,F,2022-11-29_17h44.26.418,dynamic target,2022.1.3,120.10531140925652,
1,7,4,2,mix,0,1,1,1,,,,,,,None,88.05631503630866,None,87.08222340386419,88.08129526443372,87.55674831770739,None,2,"[0.008632915403723018, 0.3083010430163995]","[0.06680166487785755, 0.8087981460303126]",88.05631503630866,None,[0 0 3 2 0 1 0 2],space,0,3.3852831938165764,0.00214225741365226,None,88.36439478830653,None,1,91.75313223004196,None,None,92.25271168089458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_FF,10,35,F,2022-11-29_17h44.26.418,dynamic target,2022.1.3,120.10531140925652,
0,8,3,2,mix,0,2,2,2,,,,,,,None,93.2851485504143,None,92.29433661763323,93.29345594352344,92.78558343537225,None,1,[0.9752535706429626],[1.482621599414415],93.2851485504143,None,[2 3 0 3 1 2 2 1],space,0,3.451137155858305,0.003199964339728467,None,94.26763288525399,None,1,97.72299046909029,None,None,98.22256575069187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_FF,10,35,F,2022-11-29_17h44.26.418,dynamic target,2022.1.3,120.10531140925652,
1,1,2,2,mix,0,3,3,3,,,,,,,None,99.24667855010193,None,98.25586661731722,99.25500165807898,98.74711792502058,None,14,"[0.008637084654765204, 0.24161643788102083, 0.2832627660864091, 0.29993816680143937, 0.5340400106979359, 0.5756202723096067, 0.6172547341848258, 0.6338724068082229, 0.6920029916000203, 0.7172314505223767, 0.7500165166493389, 0.7753703738162585, 0.7918004301391193, 0.8172181089175865]","[0.20833426874378347, 0.2499337730514526, 0.29159196758701, 0.5256726445186359, 0.5583698356604145, 0.5921285822696518, 0.6257455743398168, 0.6836417189369968, 0.7081585187734163, 0.7418008470631321, 0.7672499555810646, 0.7836319051639293, 0.8000257210733253, 1.3249671430967283]",99.24667855010193,None,[0 1 0 3 3 2 2 1],space,0,1.4861550162895583,0.002308386032382259,None,100.07097636804247,None,1,101.56135149159672,None,None,102.06092452821613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_FF,10,35,F,2022-11-29_17h44.26.418,dynamic target,2022.1.3,120.10531140925652,
0,2,3,2,mix,0,4,4,4,,,,,,,None,103.08503764833586,None,102.09422475341853,None,102.58546868475605,None,1,[0.008649271694594063],[0.5178027020592708],103.08503764833586,None,[3 3 2 0 3 1 2 1],space,0,2.1513728147547226,0.0022593171561311465,None,103.10169605133342,None,1,105.2581776652587,None,None,105.75773498700656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_FF,10,35,F,2022-11-29_17h44.26.418,dynamic target,2022.1.3,120.10531140925652,
0,3,1,2,mix,0,5,5,5,,,,,,,None,106.78185891510876,None,105.79105477561825,None,106.28228331279752,None,1,[0.008668514394230442],[0.5088356051492156],106.78185891510876,None,[0 1 3 3 1 3 0 1],space,0,2.12642433707515,0.002192929849115899,None,106.79018628855192,None,0,108.93000629236121,None,None,109.42959215744705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_FF,10,35,F,2022-11-29_17h44.26.418,dynamic target,2022.1.3,120.10531140925652,
1,4,4,2,mix,0,6,6,6,,,,,,,None,110.46201683992331,None,109.47959087459822,None,109.96244659349759,None,1,[0.008946250658482313],[0.5175102130633604],110.46201683992331,None,[2 2 0 3 1 0 1 3],space,0,2.165540892015997,0.002455271951475879,None,110.47867139438313,None,1,112.64347226774407,None,None,113.14304081440278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_FF,10,35,F,2022-11-29_17h44.26.418,dynamic target,2022.1.3,120.10531140925652,
0,2,3,0,mix,0,7,7,7,,,,,,,None,114.17548506028834,None,113.18467408964352,None,113.67591481386262,None,1,[0.008921555861888919],[0.517616689321585],114.17548506028834,None,[1 2 0 0 3 1 0 0],space,0,2.228380485536036,0.0024863809812813997,None,114.19213801118894,None,1,116.4235538952671,None,None,116.92311763124818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_FF,10,35,F,2022-11-29_17h44.26.418,dynamic target,2022.1.3,120.10531140925652,
1,3,2,2,mix,0,8,8,8,,,,,,,None,117.94723771080899,None,116.95642427068378,None,117.4476662777488,None,1,[0.008621049073553877],[0.5088465093431296],117.94723771080899,None,[0 0 1 1 0 2 2 2],space,0,1.9368488117361267,0.0026207591472484637,None,117.95557695058233,None,0,119.90388368943968,None,None,120.4034535189443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_FF,10,35,F,2022-11-29_17h44.26.418,dynamic target,2022.1.3,120.10531140925652,
