tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
0,4,3,2,T,0,880,880,880,,,,,,,None,3592.0797350375724,None,3591.0889152018244,None,3591.5801604668595,None,1,[0.008645852009067312],[0.5177447148453211],3592.0797350375724,None,[2 3 2 0 0 0 2 2],space,0,2.612666307897598,0.0021821812333655544,None,3592.0963946110787,None,1,3594.710839899719,None,None,3595.2104157853637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,3,4,2,T,0,881,881,881,,,,,,,None,3596.2428654402283,None,3595.2520452837634,None,3595.743287983074,None,1,[0.008650342027976876],[0.5175596619264979],3596.2428654402283,None,[2 3 0 3 2 1 3 2],space,0,0.9618281336297514,0.002705909857468214,None,3596.259526296595,None,1,3597.225366233197,None,None,3597.7249373081095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,2,1,2,T,0,882,882,882,,,,,,,None,3598.757395301578,None,3597.7749637831876,None,3598.2578172029935,None,1,[0.008636871971248183],[0.5171959704020992],3598.757395301578,None,[1 2 0 0 1 0 3 3],space,0,0.7194719898216135,0.002715852046094369,None,3598.774057440809,None,1,3599.4984315402,None,None,3599.99801031229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,3,4,1,T,0,883,883,883,,,,,,,None,3601.0304628535923,None,3600.0480223551604,3601.047113447061,3600.530889886457,None,1,[0.058453951809497084],[0.5662349941158027],3601.0304628535923,None,[0 0 2 1 1 1 1 0],space,0,1.2918361803858716,0.0029063571309961844,None,3601.097070679629,None,1,3602.3876412872632,None,None,3602.887222304361,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,2,3,2,T,0,884,884,884,,,,,,,None,3603.9196703556445,None,3602.9372266500577,None,3603.4200977092223,None,1,[0.009219291558110854],[0.517354083203827],3603.9196703556445,None,[0 2 3 0 3 1 2 0],space,0,1.3164347486454062,0.0022511350944114383,None,3603.936329929151,None,1,3605.2518842845166,None,None,3605.7514576044405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,4,2,0,T,0,885,885,885,,,,,,,None,3606.783905335007,None,3605.7931021764707,None,3606.2843028620337,None,1,[0.008844374984619208],[0.5170898135256721],3606.783905335007,None,[2 1 0 0 1 0 2 0],space,0,2.7716889847361017,0.002492633961082902,None,3606.800558814917,None,1,3609.5732057483765,None,None,3610.072776823289,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,5,2,1,T,0,886,886,886,,,,,,,None,3611.1052374145575,None,3610.114412094572,None,3610.605656718173,None,1,[0.008647776303405408],[0.5087274741381407],3611.1052374145575,None,[2 3 0 3 2 1 0 1],space,0,1.674977185895841,0.0029801217242493294,None,3611.1135666881637,None,1,3612.7871368657143,None,None,3613.2867124306495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,4,1,2,T,0,887,887,887,,,,,,,None,3614.3191675376765,None,3613.336730246403,None,3613.819593287677,None,1,[0.008584916038671508],[0.5170532519478002],3614.3191675376765,None,[1 2 2 2 3 3 3 0],space,0,1.1404507048864616,0.0029336179613892455,None,3614.335817810428,None,1,3615.476518323925,None,None,3615.9760942095736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,3,2,2,T,0,888,888,888,,,,,,,None,3617.0085483544535,None,3616.0177378194603,None,3616.508971538733,None,1,[0.008891520181350643],[0.5175708869755908],3617.0085483544535,None,[2 1 1 2 2 3 0 3],space,0,0.7073248852611869,0.002529195546230767,None,3617.0252015136466,None,1,3617.732930792452,None,None,3618.2325073195307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
0,2,3,2,T,0,889,889,889,,,,,,,None,3619.264963709422,None,3618.2741467601118,3619.2732901286618,3618.7653913837166,None,2,"[0.00935655784633127, 0.8006207130310941]","[0.3166101512251771, 1.3083016920609225]",3619.264963709422,None,[1 1 2 3 1 0 3 3],space,0,0.6511512215947732,0.002492954681656556,None,3620.072612584816,None,1,3620.72205885324,None,None,3621.2216337767413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_AT,13,32,F,2022-12-01_16h55.14.827,dynamic target,2022.1.3,120.11074900835351,
