tar_letter,tar_pos,tar_ori,tar_pos_type,block,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instruction_text.started,instruction_text.stopped,fix_key.keys,fix_key.started,fix_key.stopped,fixcross.started,fixcross.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,RedFixCross.started,RedFixCross.stopped,distori,search_resp.keys,search_resp.corr,search_resp.rt,search_resp.started,search_resp.stopped,fixcross_shape.started,fixcross_shape.stopped,correct,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,fix_key.rt,text_q1.started,text_q1.stopped,key_resp1.keys,key_resp1.rt,key_resp1.started,key_resp1.stopped,text_q2.started,text_q2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,text_q1_2.started,text_q1_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_q4.started,text_q4.stopped,key_resp1_3.keys,key_resp1_3.rt,key_resp1_3.started,key_resp1_3.stopped,finish_text.started,finish_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,group,age,gender,date,expName,psychopyVersion,frameRate,
1,8,4,2,mix,0,933,933,933,,,,,,,None,4411.8951221686775,None,4410.912633664586,4411.911756197592,4411.395547432287,None,2,"[0.008618804091383936, 0.7586840689064047]","[0.29164360215600027, 1.2662547874224401]",4411.8951221686775,None,[0 3 0 3 3 0 1 1],space,0,3.252029193011367,0.003125046101558837,None,4412.66112551819,None,1,4415.916652501904,None,None,4416.416221497557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,1,1,2,mix,0,934,934,934,,,,,,,None,4417.448652145272,None,4416.457865227997,None,4416.949081898843,None,1,[0.009102757927394123],[0.5174627477417744],4417.448652145272,None,[2 0 3 3 3 2 2 1],space,0,4.671761488607444,0.0025294846227552625,None,4417.465317283213,None,1,4422.1363175122015,None,None,4422.635848343171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,2,4,2,mix,0,935,935,935,,,,,,,None,4423.659984426244,None,4422.677493677171,None,4423.160409369141,None,1,[0.008663703719321347],[0.5179774898924734],4423.659984426244,None,[2 3 0 1 0 1 2 3],space,0,2.586860142709156,0.0019781813471126952,None,4423.676625510813,None,1,4426.2660594740455,None,None,4426.76564258101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
0,5,4,0,mix,0,936,936,936,,,,,,,None,4427.798070983745,None,4426.807267389465,None,4427.298502661586,None,1,[0.00858641221839207],[0.5175842974467741],4427.798070983745,None,[0 1 1 3 1 1 0 3],space,0,2.1446995213500486,0.002118011613674753,None,4427.814750553709,None,1,4429.962890458381,None,None,4430.462449832685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,6,1,2,mix,0,937,937,937,,,,,,,None,4431.49489234673,None,4430.504086828181,None,4430.995321458879,None,1,[0.008678135741320148],[0.5172767350013601],4431.49489234673,None,[3 3 1 3 2 2 2 1],space,0,3.2011159025296365,0.0028691182287730044,None,4431.511572237406,None,1,4434.717108938682,None,None,4435.21668883853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
0,5,1,1,mix,0,938,938,938,,,,,,,None,4436.249115958418,None,4435.2666973694595,None,4435.749547315548,None,1,[0.008032543249100854],[0.5167523715017524],4436.249115958418,None,[3 2 2 3 2 3 3 2],space,0,2.2064416397006426,0.002884191675548209,None,4436.265784303475,None,1,4438.472200716727,None,None,4438.971783823691,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,6,2,2,mix,0,939,939,939,,,,,,,None,4440.0042519946655,None,4439.02176862196,None,4439.504680465391,None,1,[0.008651516677673499],[0.5181853110234442],4440.0042519946655,None,[0 3 2 1 0 2 2 3],space,0,4.193597460007368,0.0017430997286282945,None,4440.020904304142,None,1,4444.21724908966,None,None,4444.716818726736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
0,3,4,0,mix,0,940,940,940,,,,,,,None,4445.74927663494,None,4444.758451552982,None,4445.249705747088,None,1,[0.008660496602715284],[0.517535869990752],4445.74927663494,None,[0 1 3 1 1 2 3 2],space,0,1.697430605297086,0.0027366643298591953,None,4445.765929265128,None,1,4447.464465152438,None,None,4447.964071992062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
0,4,2,2,mix,0,941,941,941,,,,,,,None,4448.996478586406,None,4448.005663125797,None,4448.496908339977,None,1,[0.008952664888965955],[0.5175727518271742],4448.996478586406,None,[1 0 0 1 1 1 1 2],space,0,1.3455952047643223,0.0024759257821642677,None,4449.013124160938,None,0,4450.370293637146,None,None,4450.869865519203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
1,5,3,2,mix,0,942,942,942,,,,,,,None,4451.893986208118,None,4450.903176199606,4451.902306429691,4451.3943973604155,None,3,"[0.008598278548561211, 0.9666716483870914, 1.0001751085446813]","[0.2916445642913459, 0.9831077982316856, 1.5078151007710403]",4451.893986208118,None,[2 3 3 3 1 0 3 1],space,0,2.130389368838223,0.0031218389858622686,None,4452.901437301199,None,1,4455.032951515459,None,None,4455.5325083240705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23_SN,23,25,F,2022-12-14_15h04.43.222,dynamic target,2022.1.3,120.1279848360174,
